Symbol,sector,description,total_return,total_volatility,total_sharpe,annual_return,annual_volatility,annual_sharpe,monthly_return,monthly_volatility,monthly_sharpe,forecast_return,forecast_volatility,forecast_sharpe
1,Israel stocks indexes,מניות והמירים כללי,,,,,,,,,,,,
2,Israel stocks indexes,מניות כללי,,,,,,,,,,,,
3,Israel stocks indexes,אופציות כללי,,,,,,,,,,,,
4,Israel stocks indexes,"אג""ח להמרה כללי",,,,,,,,,,,,
13,Israel stocks indexes,בנקים מניות והמירים,,,,,,,,,,,,
33,Israel stocks indexes,"ת""א-ביטוח",,,,,,,,,,,,
41,Israel stocks indexes,מסחר ושירותים מניות והמירים,,,,,,,,,,,,
61,Israel stocks indexes,"נדל""ן ובינוי מניות והמירים",,,,,,,,,,,,
73,Israel stocks indexes,תעשייה מניות והמירים,,,,,,,,,,,,
97,Israel stocks indexes,"כימיה, גומי ופלסטיקה מניות והמירים",,,,,,,,,,,,
117,Israel stocks indexes,השקעה ואחזקות מניות והמירים,,,,,,,,,,,,
127,Israel stocks indexes,חיפושי גז ונפט מניות והמירים,,,,,,,,,,,,
137,Israel stocks indexes,"ת""א-125",,,,,,,,,,,,
142,Israel stocks indexes,"ת""א-35",,,,,,,,,,,,
143,Israel stocks indexes,"ת""א-90",,,,,,,,,,,,
145,Israel stocks indexes,"ת""א גלובל-בלוטק",,,,,,,,,,,,
147,Israel stocks indexes,"ת""א-SME60",,,,,,,,,,,,
148,Israel stocks indexes,"ת""א-פיננסים",,,,,,,,,,,,
149,Israel stocks indexes,"ת""א-נדל""ן",,,,,,,,,,,,
150,Israel stocks indexes,"ת""א-מעלה",,,,,,,,,,,,
161,Israel stocks indexes,יתר מניות והמירים,,,,,,,,,,,,
162,Israel stocks indexes,יתר מניות,,,,,,,,,,,,
163,Israel stocks indexes,"ת""א-צמיחה",,,,,,,,,,,,
164,Israel stocks indexes,"ת""א בנקים-5",,,,,,,,,,,,
166,Israel stocks indexes,תל-דיב,,,,,,,,,,,,
167,Israel stocks indexes,"ת""א-ביומד",,,,,,,,,,,,
168,Israel stocks indexes,"ת""א All-Share",,,,,,,,,,,,
169,Israel stocks indexes,"ת""א-טכנולוגיה",,,,,,,,,,,,
170,Israel stocks indexes,"ת""א-נפט וגז",,,,,,,,,,,,
171,Israel stocks indexes,"ת""א-ביטוח ושירותים פיננסיים",,,,,,,,,,,,
