,601,602,700,701,702,142,143,SPY,QQQ,^RUT,IEI,LQD,GSG,GLD,OIL
,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close
2013-08-30,,,,,,,,136.21636962890625,69.04582977294922,1010.9000244140625,104.04710388183594,81.84256744384766,33.54999923706055,134.6199951171875,43.91999816894531
2013-09-01,302.57,306.45,393.92,275.5,314.98,1185.11,833.18,,,,,,,,
2013-09-02,302.45,306.2,393.47,275.84,315.01,1190.1,839.09,,,,,,,,
2013-09-03,301.96,305.58,392.54,275.79,315.0,1179.73,831.84,136.83236694335938,69.4392318725586,1016.260009765625,103.83014678955078,81.52003479003906,34.18000030517578,136.4199981689453,44.19599914550781
2013-09-04,,,,,,,,137.96435546875,70.18029022216797,1025.5799560546875,103.55242919921875,81.2222900390625,33.650001525878906,134.66000366210938,43.75709915161133
2013-09-05,,,,,,,,138.13916015625,70.2991943359375,1028.68994140625,103.09239196777344,80.55406951904297,33.63999938964844,132.1999969482422,44.146400451660156
2013-09-06,,,,,,,,138.2057342529297,70.3815689086914,1029.550048828125,103.49166107177734,80.67024230957031,33.88999938964844,134.14999389648438,44.81800079345703
2013-09-08,301.37,305.11,391.87,275.68,315.04,1165.42,818.14,,,,,,,,
2013-09-09,301.77,305.49,392.48,275.53,315.05,1179.84,826.95,139.5292205810547,71.20494842529297,1046.0799560546875,103.68260192871094,80.8808822631836,33.63999938964844,133.91000366210938,44.34590148925781
2013-09-10,302.17,305.82,392.86,275.67,315.1,1198.44,839.0,140.56134033203125,71.55261993408203,1055.719970703125,103.43956756591797,80.52499389648438,33.189998626708984,131.74000549316406,43.45000076293945
2013-09-11,302.88,306.54,393.91,275.73,315.1,1200.43,839.91,141.0025177001953,71.41535949707031,1055.3399658203125,103.73465728759766,80.90270233154297,33.25,131.6999969482422,43.720001220703125
2013-09-12,303.24,306.75,394.03,275.75,315.13,1202.81,827.92,140.6279296875,71.36962127685547,1048.47998046875,103.71733856201172,80.8446273803711,33.58000183105469,127.66999816894531,44.06159973144531
2013-09-13,,,,,,,,140.9442138671875,71.41535949707031,1053.97998046875,103.79541015625,80.8954086303711,33.59000015258789,127.81999969482422,44.09000015258789
2013-09-15,303.54,306.83,394.07,275.79,315.15,1225.8,837.85,,,,,,,,
2013-09-16,304.06,307.49,395.33,275.86,315.24,1230.37,841.45,141.7599639892578,71.22325897216797,1056.25,104.06452941894531,80.98985290527344,33.060001373291016,126.44999694824219,43.55550003051758
2013-09-17,303.71,307.03,394.63,275.8,315.23,1240.08,845.72,142.39254760742188,71.69895935058594,1066.3900146484375,104.17733001708984,81.20772552490234,32.56999969482422,126.5,43.08599853515625
2013-09-18,,,,,,,,144.0406036376953,72.5589828491211,1076.969970703125,104.91510009765625,82.39888000488281,33.31999969482422,132.00999450683594,44.00859832763672
