,169,170,603,601,701,714,XLK,XLV,XOP,QQQ,SHV,BIL,273011,695437,593038,LMB,AGM,TDS,MCD,FMY,EOI
,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,closingPrice,closingPrice,closingPrice,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close
2013-08-19,321.62,1232.86,279.21,303.03,275.83,306.42,27.536270141601562,42.118282318115234,206.86581420898438,68.93604278564453,100.11062622070312,83.87962341308594,13600.0,3988.0,5412.0,,24.641876220703125,21.046960830688477,72.94123077392578,8.50208854675293,5.602899551391602
2013-08-20,319.62,1245.56,279.22,303.14,275.92,306.81,27.579681396484375,42.237396240234375,208.98614501953125,69.23796081542969,100.12876892089844,83.89794921875,13680.0,4009.0,5439.0,,24.992197036743164,20.987796783447266,72.95652770996094,8.558133125305176,5.635747909545898
2013-08-21,319.7,1245.38,279.08,302.75,275.97,306.42,27.518911361694336,41.98213195800781,206.6263885498047,69.00008392333984,100.11062622070312,83.89794921875,13490.0,3989.0,5510.0,,25.3574275970459,20.699382781982422,72.6585693359375,8.507699012756348,5.624398231506348
2013-08-22,322.51,1233.88,278.89,302.36,276.0,306.28,27.640445709228516,42.2544059753418,211.03802490234375,69.6771240234375,100.11062622070312,83.87962341308594,13790.0,3960.0,5543.0,,25.819562911987305,20.928638458251953,72.92596435546875,8.490880012512207,5.662210941314697
2013-08-23,,,,,,,27.840110778808594,42.365028381347656,213.05572509765625,70.1436767578125,100.11062622070312,83.89794921875,,,,,26.572378158569336,20.891660690307617,72.67386627197266,8.507699012756348,5.671665191650391
2013-08-25,322.86,1235.27,279.47,303.11,276.21,307.14,,,,,,,13600.0,3922.0,5518.0,,,,,,
2013-08-26,319.28,1208.13,279.08,302.98,276.16,306.82,27.709896087646484,42.42458724975586,213.53448486328125,70.1802749633789,100.11970520019531,83.87962341308594,13580.0,3850.0,5331.0,,26.162424087524414,20.987796783447266,72.81136322021484,8.586161613464355,5.666941165924072
2013-08-27,316.74,1177.55,277.44,301.98,275.72,304.36,27.223758697509766,41.73538589477539,211.85873413085938,68.743896484375,100.12876892089844,83.87962341308594,13470.0,3770.0,5209.0,,25.104001998901367,20.655010223388672,72.45230865478516,8.5413236618042,5.567684650421143
2013-08-28,320.4,1180.13,276.85,301.44,275.55,303.39,27.24112319946289,41.9140510559082,214.62881469726562,69.00926208496094,100.12876892089844,83.87962341308594,13580.0,3801.0,5231.0,,24.9772891998291,20.699382781982422,73.39961242675781,8.602975845336914,5.581864833831787
2013-08-29,323.77,1181.95,277.41,301.76,275.57,304.36,27.388694763183594,42.041683197021484,213.29507446289062,69.49413299560547,100.12876892089844,83.89794921875,13680.0,3892.0,5318.0,,25.320159912109375,20.973005294799805,73.05305480957031,8.614180564880371,5.605493068695068
2013-08-30,,,,,,,27.258480072021484,41.88003158569336,212.02975463867188,69.04582977294922,100.12876892089844,83.89794921875,,,,,25.081649780273438,20.477529525756836,72.66798400878906,8.574952125549316,5.600769996643066
2013-09-01,322.57,1201.87,278.54,302.57,275.5,306.59,,,,,,,13870.0,3922.0,5457.0,,,,,,
2013-09-02,325.21,1206.57,278.64,302.45,275.84,306.94,,,,,,,13900.0,3952.0,5557.0,,,,,,
2013-09-03,324.59,1191.81,278.38,301.96,275.79,306.2,27.284521102905273,42.15229797363281,214.28683471679688,69.4392318725586,100.13784790039062,83.89794921875,13880.0,3881.0,5518.0,,24.634424209594727,20.337018966674805,72.79120635986328,8.656669616699219,5.6196746826171875
2013-09-04,,,,,,,27.544958114624023,42.63730239868164,215.31277465820312,70.1802749633789,100.13784790039062,83.89794921875,,,,,24.91020393371582,20.551475524902344,73.2840805053711,8.741202354431152,5.624398231506348
2013-09-05,,,,,,,27.562314987182617,42.696876525878906,216.6465301513672,70.29920959472656,100.12876892089844,83.89794921875,,,,,24.7387752532959,20.544086456298828,73.66913604736328,8.735572814941406,5.648033142089844
2013-09-06,,,,,,,27.579681396484375,42.71388244628906,217.46728515625,70.38156127929688,100.13784790039062,83.89794921875,,,,,24.403356552124023,20.477529525756836,74.13119506835938,8.718669891357422,5.690571308135986
2013-09-08,321.73,1177.24,277.61,301.37,275.68,305.24,,,,,,,13830.0,3830.0,5426.0,,,,,,
2013-09-09,325.41,1185.31,278.0,301.77,275.53,305.64,27.909557342529297,42.9776496887207,219.99794006347656,71.20492553710938,100.12876892089844,83.8613510131836,13850.0,3839.0,5341.0,,24.641876220703125,21.061750411987305,74.27754211425781,8.752476692199707,5.728382587432861
2013-09-10,329.26,1219.34,278.51,302.17,275.67,305.95,28.083181381225586,43.249935150146484,219.48501586914062,71.55260467529297,100.13784790039062,83.87962341308594,13820.0,3846.0,5321.0,,24.78349494934082,21.372356414794922,74.61638641357422,8.735572814941406,5.761469841003418
2013-09-11,327.93,1204.29,279.19,302.88,275.73,306.95,27.952960968017578,43.53923797607422,221.7420654296875,71.41536712646484,100.12876892089844,83.87962341308594,13850.0,3869.0,5332.0,,24.060483932495117,21.3945369720459,75.0553207397461,8.769388198852539,5.761469841003418
2013-09-12,319.01,1208.52,279.78,303.24,275.75,307.92,27.979007720947266,43.47116470336914,221.1949005126953,71.36962890625,100.13784790039062,83.87962341308594,13750.0,3845.0,5345.0,,24.045522689819336,21.014219284057617,74.83971405029297,8.786291122436523,5.761469841003418
2013-09-13,,,,,,,28.005048751831055,43.57326126098633,221.4000244140625,71.41536712646484,100.13784790039062,83.89794921875,,,,,24.127822875976562,21.30391502380371,74.97061920166016,8.758115768432617,5.7709197998046875
2013-09-15,323.35,1238.62,280.41,303.54,275.79,308.89,,,,,,,14000.0,3909.0,5469.0,,,,,,
2013-09-16,320.22,1238.67,280.71,304.06,275.86,309.19,27.96164321899414,43.964656829833984,220.7161102294922,71.22325134277344,100.12876892089844,83.87962341308594,13900.0,3962.0,5508.0,,24.427080154418945,20.635387420654297,75.24787902832031,8.859557151794434,5.813455581665039
2013-09-17,323.17,1243.8,280.53,303.71,275.8,308.93,28.100543975830078,43.990196228027344,223.55465698242188,71.69896697998047,100.12876892089844,83.87962341308594,13990.0,3944.0,5620.0,,24.419599533081055,20.999366760253906,75.40959167480469,8.791927337646484,5.813455581665039
2013-09-18,,,,,,,28.456464767456055,44.262474060058594,226.49563598632812,72.5589599609375,100.13784790039062,83.89794921875,,,,,25.197681427001953,21.0365047454834,76.01028442382812,8.870834350585938,5.9127116203308105
