,601,602,700,701,702,TA35.TA,TA90.TA,SPY,QQQ,^RUT,IEI,LQD,GSG,GLD,OIL
,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close
2013-07-26,,,,,,,,140.76112365722656,68.95435333251953,1048.510009765625,105.1252670288086,83.06033325195312,32.45000076293945,128.77999877929688,41.95000076293945
2013-07-28,303.99,308.83,396.93,275.09,314.87,1227.93994140625,811.0700073242188,,,,,,,,
2013-07-29,304.08,309.0,397.13,275.07,314.98,1223.550048828125,815.2000122070312,140.3282928466797,68.82625579833984,1040.6600341796875,105.09049224853516,82.92269134521484,32.40999984741211,128.47000122070312,42.08000183105469
2013-07-30,304.02,308.9,396.97,274.81,314.92,1203.4599609375,816.5800170898438,140.3282928466797,69.19219207763672,1043.510009765625,105.05577850341797,82.94438171386719,32.20000076293945,128.1199951171875,41.7400016784668
2013-07-31,303.81,308.54,396.43,274.83,314.93,1203.469970703125,821.4500122070312,140.42813110351562,69.3202896118164,1045.260009765625,105.064453125,82.95165252685547,32.540000915527344,127.95999908447266,42.23699951171875
2013-08-01,303.82,308.26,395.88,274.93,314.98,1207.8399658203125,828.8900146484375,142.05125427246094,70.02474212646484,1059.8800048828125,104.60989379882812,82.29057312011719,32.900001525878906,126.61000061035156,43.04199981689453
2013-08-02,,,,,,,,142.2926483154297,70.41814422607422,1059.8599853515625,105.1661605834961,82.6974105834961,32.68000030517578,126.36000061035156,42.8916015625
2013-08-04,304.35,308.69,396.39,275.0,314.99,1208.93994140625,832.530029296875,,,,,,,,
2013-08-05,304.3,308.67,396.35,275.15,314.98,1203.6500244140625,839.8900146484375,142.08453369140625,70.46388244628906,1063.010009765625,105.0444564819336,82.38502502441406,32.540000915527344,125.69999694824219,42.71099853515625
2013-08-06,304.26,308.68,396.42,275.21,315.01,1200.8699951171875,835.469970703125,141.27716064453125,70.04306030273438,1052.1400146484375,105.02706909179688,82.43585968017578,32.33000183105469,123.97000122070312,42.422401428222656
2013-08-07,304.42,308.93,396.8,275.33,315.05,1200.469970703125,835.3400268554688,140.8193359375,69.91495513916016,1044.3399658203125,105.13138580322266,82.61750793457031,32.040000915527344,124.1500015258789,42.16389846801758
2013-08-08,304.45,308.86,396.9,275.51,315.02,1202.8499755859375,833.3699951171875,141.33541870117188,70.26261901855469,1049.469970703125,105.17481231689453,82.79185485839844,32.09000015258789,126.86000061035156,41.529998779296875
2013-08-09,,,,,,,,140.92758178710938,69.97898864746094,1048.4000244140625,105.2356948852539,82.79185485839844,32.40999984741211,126.86000061035156,42.531700134277344
2013-08-11,304.85,309.15,397.43,275.52,315.08,1202.75,830.989990234375,,,,,,,,
