,NVDA,MRNA,BYND,TSLA,TEVA,SNOW,ABNB,BABA,1090943,1106376,168013
,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,closingPrice,closingPrice,closingPrice
2013-08-11,,,,,,,,,2335.0,36.0,18330.0
2013-08-12,3.3546950817108154,,,9.825332641601562,35.055789947509766,,,,2259.0,35.0,17990.0
2013-08-13,3.366368293762207,,,9.695332527160645,34.941287994384766,,,,2242.0,35.3,17710.0
2013-08-14,3.5087733268737793,,,9.290666580200195,35.09983444213867,,,,2229.0,35.3,17340.0
2013-08-15,3.5321192741394043,,,9.311332702636719,35.56666946411133,,,,2205.0,35.3,17380.0
2013-08-16,3.546125650405884,,,9.466667175292969,35.56843566894531,,,,,,
2013-08-18,,,,,,,,,2222.0,35.0,17670.0
2013-08-19,3.4900970458984375,,,9.65999984741211,35.1511344909668,,,,2224.0,33.8,17890.0
2013-08-20,3.5076944828033447,,,9.972000122070312,34.74271011352539,,,,2228.0,33.8,17670.0
2013-08-21,3.4912705421447754,,,9.857333183288574,34.00577163696289,,,,2219.0,35.0,17850.0
2013-08-22,3.510042190551758,,,10.473333358764648,34.14783477783203,,,,2172.0,33.9,17780.0
2013-08-23,3.510042190551758,,,10.78933334350586,34.00577163696289,,,,,,
2013-08-25,,,,,,,,,2190.0,33.9,17810.0
2013-08-26,3.517080068588257,,,10.947999954223633,34.42308044433594,,,,2110.0,35.2,17270.0
2013-08-27,3.472501277923584,,,11.133999824523926,34.01464080810547,,,,1983.0,35.2,16790.0
2013-08-28,3.472501277923584,,,11.096667289733887,33.925865173339844,,,,1987.0,34.0,16780.0
2013-08-29,3.4654619693756104,,,11.070667266845703,33.89921951293945,,,,2048.0,34.0,17410.0
2013-08-30,3.460768699645996,,,11.266667366027832,33.93474578857422,,,,,,
2013-09-01,,,,,,,,,2122.0,33.8,17790.0
2013-09-02,,,,,,,,,2193.0,33.8,17670.0
2013-09-03,3.463115930557251,,,11.262666702270508,34.05016326904297,,,,2197.0,34.1,17760.0
2013-09-04,3.4959633350372314,,,11.374667167663574,34.11231231689453,,,,,,
2013-09-05,3.5053489208221436,,,11.328666687011719,34.352046966552734,,,,,,
2013-09-06,3.4912705421447754,,,11.131333351135254,34.218868255615234,,,,,,
2013-09-08,,,,,,,,,2156.0,34.1,17680.0
2013-09-09,3.5499277114868164,,,10.713333129882812,33.89921951293945,,,,2164.0,34.1,17630.0
2013-09-10,3.6250085830688477,,,11.091333389282227,33.7838020324707,,,,2208.0,32.4,17750.0
2013-09-11,3.686012029647827,,,10.90133285522461,34.183345794677734,,,,2211.0,31.4,18150.0
2013-09-12,3.6836659908294678,,,10.995332717895508,34.52074432373047,,,,2278.0,33.2,18270.0
2013-09-13,3.7071290016174316,,,11.03600025177002,34.04127883911133,,,,,,
2013-09-15,,,,,,,,,2317.0,33.2,18260.0
2013-09-16,3.709475040435791,,,11.10533332824707,33.63286590576172,,,,2429.0,32.4,18400.0
2013-09-17,3.7212071418762207,,,11.081999778747559,33.402008056640625,,,,2433.0,31.8,18200.0
2013-09-18,3.7540550231933594,,,11.08133316040039,33.48191833496094,,,,,,
2013-09-19,3.737630605697632,,,11.861332893371582,33.233314514160156,,,,,,
2013-09-20,3.704782724380493,,,12.22599983215332,33.490806579589844,,,,,,
2013-09-22,,,,,,,,,2428.0,31.8,18170.0
2013-09-23,3.669588088989258,,,12.074000358581543,33.74828338623047,,,,2486.0,31.8,18300.0
2013-09-24,3.6836659908294678,,,12.155332565307617,34.37867736816406,,,,2465.0,31.8,18560.0
2013-09-25,3.688358783721924,,,12.349332809448242,33.881465911865234,,,,,,
2013-09-26,3.676626682281494,,,12.576000213623047,33.6772575378418,,,,,,
2013-09-27,3.6555111408233643,,,12.726667404174805,33.75716781616211,,,,,,
2013-09-29,,,,,,,,,2471.0,31.8,18750.0
2013-09-30,3.650818109512329,,,12.891332626342773,33.544071197509766,,,,2495.0,29.5,18910.0
2013-10-01,3.6484713554382324,,,12.866666793823242,33.464176177978516,,,,2517.0,29.5,19400.0
2013-10-02,3.646125078201294,,,12.063332557678223,33.39313888549805,,,,2520.0,29.5,19470.0
2013-10-03,3.6085851192474365,,,11.553999900817871,33.65949249267578,,,,2484.0,29.5,19510.0
2013-10-04,3.6578574180603027,,,12.065333366394043,34.14783477783203,,,,,,
2013-10-06,,,,,,,,,2540.0,29.5,19600.0
2013-10-07,3.6578574180603027,,,12.204667091369629,34.28989028930664,,,,2588.0,29.5,19140.0
2013-10-08,3.6273558139801025,,,11.648667335510254,34.43195343017578,,,,2653.0,28.0,19840.0
2013-10-09,3.5710442066192627,,,11.251999855041504,34.80486297607422,,,,2658.0,28.5,19950.0
2013-10-10,3.610931634902954,,,11.528667449951172,36.03901672363281,,,,2701.0,30.7,19970.0
2013-10-11,3.580430030822754,,,11.91333293914795,36.43856430053711,,,,,,
