Symbol,sector,description,Market Cap,Volume
1,Israel Stocks Indexes,מניות והמירים כללי,,
2,Israel Stocks Indexes,מניות כללי,,
3,Israel Stocks Indexes,אופציות כללי,,
4,Israel Stocks Indexes,"אג""ח להמרה כללי",,
13,Israel Stocks Indexes,בנקים מניות והמירים,,
33,Israel Stocks Indexes,"ת""א-ביטוח",,
41,Israel Stocks Indexes,מסחר ושירותים מניות והמירים,,
61,Israel Stocks Indexes,"נדל""ן ובינוי מניות והמירים",,
73,Israel Stocks Indexes,תעשייה מניות והמירים,,
97,Israel Stocks Indexes,"כימיה, גומי ופלסטיקה מניות והמירים",,
117,Israel Stocks Indexes,השקעה ואחזקות מניות והמירים,,
127,Israel Stocks Indexes,חיפושי גז ונפט מניות והמירים,,
137,Israel Stocks Indexes,"ת""א-125",,
142,Israel Stocks Indexes,"ת""א-35",,
143,Israel Stocks Indexes,"ת""א-90",,
145,Israel Stocks Indexes,"ת""א גלובל-בלוטק",,
147,Israel Stocks Indexes,"ת""א-SME60",,
148,Israel Stocks Indexes,"ת""א-פיננסים",,
149,Israel Stocks Indexes,"ת""א-נדל""ן",,
150,Israel Stocks Indexes,"ת""א-מעלה",,
161,Israel Stocks Indexes,יתר מניות והמירים,,
162,Israel Stocks Indexes,יתר מניות,,
163,Israel Stocks Indexes,"ת""א-צמיחה",,
164,Israel Stocks Indexes,"ת""א בנקים-5",,
166,Israel Stocks Indexes,תל-דיב,,
167,Israel Stocks Indexes,"ת""א-ביומד",,
168,Israel Stocks Indexes,"ת""א All-Share",,
169,Israel Stocks Indexes,"ת""א-טכנולוגיה",,
170,Israel Stocks Indexes,"ת""א-נפט וגז",,
171,Israel Stocks Indexes,"ת""א-ביטוח ושירותים פיננסיים",,
172,Israel Stocks Indexes,"ת""א תקשורת וטכנולוגיות מידע",,
173,Israel Stocks Indexes,"ת""א טק - עילית",,
174,Israel Stocks Indexes,"ת""א-35 דולר",,
601,Israel General Bonds Indexes,All-Bond כללי,,
602,Israel General Bonds Indexes,תל גוב-כללי,,
603,Israel General Bonds Indexes,"אג""ח כללי - קונצרני",,
604,Israel General Bonds Indexes,All-Bond צמודות,,
605,Israel General Bonds Indexes,תל גוב-צמודות,,
606,Israel General Bonds Indexes,"אג""ח צמודות מדד - קונצרני",,
637,Israel General Bonds Indexes,תל גוב- צמודות 0-2,,
646,Israel General Bonds Indexes,תל גוב-צמודות 2-5,,
