,658,690,637,XLK,SHV,700,704,QQQ,IEI,LQD,GLD,127,143,603,702,712,170,OIL,701
,closingIndexPrice,closingIndexPrice,closingIndexPrice,Adj Close,Adj Close,closingIndexPrice,closingIndexPrice,Adj Close,Adj Close,Adj Close,Adj Close,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,Adj Close,closingIndexPrice
2013-09-11,310.96,351.35,246.83,27.952966690063477,99.71106719970703,393.91,461.48,71.41535949707031,103.52513122558594,80.6153793334961,131.6999969482422,1570.17,839.91,279.19,315.1,304.16,1204.29,43.720001220703125,275.73
2013-09-12,311.66,351.45,246.84,27.979005813598633,99.72012329101562,394.03,461.71,71.36962890625,103.50782012939453,80.55747985839844,127.66999816894531,1574.32,827.92,279.78,315.13,304.8,1208.52,44.06159973144531,275.75
2013-09-13,,,,28.005048751831055,99.72012329101562,,,71.41535949707031,103.58576202392578,80.60813903808594,127.81999969482422,,,,,,,44.09000015258789,
2013-09-15,311.97,351.49,246.79,,,394.07,461.9,,,,,1613.88,837.85,280.41,315.15,305.57,1238.62,,275.79
2013-09-16,312.98,352.47,246.29,27.961645126342773,99.71106719970703,395.33,464.23,71.22322845458984,103.8542709350586,80.70223236083984,126.44999694824219,1615.84,841.45,280.71,315.24,305.67,1238.67,43.55550003051758,275.86
2013-09-17,312.38,351.92,246.23,28.100542068481445,99.71106719970703,394.63,462.8,71.698974609375,103.9669189453125,80.9193344116211,126.5,1635.15,845.72,280.53,315.23,305.07,1243.8,43.08599853515625,275.8
2013-09-18,,,,28.45646858215332,99.72012329101562,,,72.55896759033203,104.70319366455078,82.10625457763672,132.00999450683594,,,,,,,44.00859832763672,
2013-09-19,,,,28.473825454711914,99.72012329101562,,,72.73277282714844,104.52994537353516,81.585205078125,131.75,,,,,,,43.900001525878906,
2013-09-20,,,,28.271451950073242,99.72012329101562,,,72.48318481445312,104.52124786376953,81.65756225585938,127.95999908447266,,,,,,,43.1890983581543,
2013-09-22,314.17,353.36,246.31,,,396.51,466.3,,,,,1648.84,841.93,281.25,315.36,305.86,1251.72,,275.79
2013-09-23,315.03,354.01,246.27,28.35867691040039,99.72012329101562,397.31,467.8,72.33636474609375,104.6858139038086,82.14244079589844,127.55000305175781,1679.67,848.74,281.66,315.5,306.37,1263.71,42.7400016784668,275.98
2013-09-24,316.25,354.44,246.33,28.2365665435791,99.72012329101562,397.81,468.54,72.33636474609375,104.82442474365234,82.3523178100586,127.66000366210938,1681.58,852.78,282.38,315.75,307.31,1270.62,42.680999755859375,276.29
2013-09-25,,,,28.192947387695312,99.72913360595703,,,72.088623046875,104.98031616210938,82.60560607910156,128.7899932861328,,,,,,,42.5,
2013-09-26,,,,28.29761505126953,99.72913360595703,,,72.64836883544922,104.88504791259766,82.4029769897461,127.79000091552734,,,,,,,42.84000015258789,
2013-09-27,,,,28.123165130615234,99.72913360595703,,,72.5566177368164,105.02362823486328,82.33784484863281,128.97000122070312,,,,,,,42.65999984741211,
2013-09-29,316.46,354.82,246.43,,,398.31,469.65,,,,,1689.88,862.64,282.68,315.83,307.98,1284.17,,276.29
2013-09-30,315.5,354.48,246.31,27.948699951171875,99.72012329101562,397.82,468.59,72.38224029541016,105.09293365478516,82.15695190429688,128.17999267578125,1692.83,859.76,282.53,315.88,307.83,1278.18,42.65999984741211,276.48
2013-10-01,314.74,354.3,246.29,28.192947387695312,99.71106719970703,397.6,468.09,73.11634826660156,104.92389678955078,82.07414245605469,124.58999633789062,1702.77,863.91,282.41,315.91,307.79,1284.23,42.40999984741211,276.42
2013-10-02,315.32,354.8,246.35,28.20166778564453,99.70199584960938,398.22,469.3,73.08880615234375,105.08854675292969,82.32096862792969,127.05999755859375,1707.03,862.79,282.62,315.91,307.76,1281.25,43.18000030517578,276.55
2013-10-03,315.84,354.96,246.51,27.957420349121094,99.70199584960938,398.39,469.62,72.23542785644531,105.1753158569336,82.36457061767578,127.18000030517578,1680.01,851.09,282.81,315.95,307.98,1258.65,42.959999084472656,276.71
2013-10-04,,,,28.070823669433594,99.71106719970703,,,72.85940551757812,104.99324798583984,82.28466796875,126.52999877929688,,,,,,,43.189998626708984,
2013-10-06,316.44,355.24,246.6,,,398.76,470.35,,,,,1698.05,861.32,283.2,315.98,308.25,1274.64,,276.69
2013-10-07,316.48,355.21,246.64,27.948699951171875,99.70199584960938,398.71,470.23,72.2538070678711,105.02792358398438,82.42991638183594,127.63999938964844,1713.48,862.63,283.17,315.98,308.07,1284.84,43.09000015258789,276.74
2013-10-08,316.47,355.1,246.62,27.50381851196289,99.70199584960938,398.6,469.93,70.85901641845703,104.89788818359375,82.4154052734375,127.4000015258789,1716.24,865.93,282.45,315.99,307.62,1281.41,43.301700592041016,276.61
