,170,603,601,690,637,704,701,714,XLK,XLV,XOP,QQQ,SHV,273011,695437,593038,LMB,AGM,TDS,MCD,FMY,EOI
,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,closingPrice,closingPrice,closingPrice,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close
2013-11-20,1317.63,287.29,310.77,358.98,246.84,478.73,276.66,319.12,29.542966842651367,46.20353698730469,228.3286895751953,75.77787017822266,98.87081909179688,13590.0,4328.0,5748.0,,25.744592666625977,21.1822452545166,74.71527099609375,8.929779052734375,5.934436321258545
2013-11-21,1303.35,286.83,310.33,358.46,246.81,477.22,276.65,318.15,29.7954044342041,46.3907356262207,234.8728790283203,76.5475845336914,98.87081909179688,13550.0,4310.0,5709.0,,25.99728012084961,21.571786880493164,74.83779907226562,8.890609741210938,6.005311965942383
2013-11-22,,,,,,,,,29.734481811523438,47.01188659667969,236.27024841308594,76.95991516113281,98.87081909179688,,,,,26.00471305847168,21.21164321899414,75.27442169189453,8.890609741210938,6.019482135772705
2013-11-24,1312.67,287.32,311.03,359.35,247.01,479.51,276.84,319.05,,,,,,13680.0,4385.0,5791.0,,,,,,
2013-11-25,1312.96,287.15,311.06,359.47,247.14,479.7,276.92,318.47,29.734481811523438,47.199100494384766,233.5094757080078,77.14320373535156,98.87081909179688,13600.0,4465.0,5780.0,,25.885791778564453,20.800048828125,75.7723159790039,8.801095962524414,5.995855808258057
2013-11-26,1300.56,287.34,311.23,359.58,247.0,480.01,276.91,318.39,29.838932037353516,47.062950134277344,235.0092010498047,77.54634094238281,98.87081909179688,13690.0,4448.0,5795.0,,25.335832595825195,20.763294219970703,75.2208251953125,8.78990364074707,5.981686592102051
2013-11-27,1299.71,287.56,311.27,359.49,246.97,479.71,276.86,318.49,30.07394790649414,47.04593276977539,231.94161987304688,78.08696746826172,98.87081909179688,13600.0,4413.0,5694.0,,25.752025604248047,20.439908981323242,74.96593475341797,8.784305572509766,6.000582695007324
2013-11-28,1288.72,287.83,311.48,359.66,247.09,480.16,276.77,319.09,,,,,,13780.0,4460.0,5717.0,,,,,,
2013-11-29,,,,,,,,,30.19580841064453,47.02039337158203,231.02139282226562,78.55427551269531,98.86185455322266,,,,,26.019577026367188,20.439908981323242,75.20537567138672,8.795495986938477,6.005311965942383
2013-12-01,1314.33,288.29,311.98,360.12,247.2,481.41,276.87,319.86,,,,,,14100.0,4490.0,5810.0,,,,,,
2013-12-02,1316.46,288.44,311.93,359.91,247.23,480.79,276.95,320.21,30.100067138671875,47.037418365478516,231.19178771972656,78.3251953125,98.85287475585938,14030.0,4470.0,5795.0,,25.425012588500977,20.01361846923828,74.54113006591797,8.80955696105957,5.97223424911499
2013-12-03,1320.57,288.73,312.35,360.28,247.42,481.74,276.94,320.54,30.169702529907227,46.62898635864258,230.61239624023438,78.26107025146484,98.85287475585938,13830.0,4380.0,5745.0,,25.291234970092773,19.998918533325195,74.44071960449219,8.843314170837402,5.9627861976623535
2013-12-04,1314.3,288.67,312.17,360.01,247.57,481.09,276.92,320.63,30.19580841064453,46.467315673828125,229.828369140625,78.33435821533203,98.86185455322266,13850.0,4401.0,5718.0,,25.402713775634766,19.64612579345703,73.9232177734375,8.787055015563965,5.97695779800415
2013-12-05,1304.02,288.54,311.86,359.52,247.59,479.7,276.96,320.82,30.100067138671875,46.382232666015625,229.55564880371094,78.2335433959961,98.87081909179688,14040.0,4408.0,5778.0,,25.432451248168945,19.315387725830078,73.70696258544922,8.67454719543457,5.97223424911499
2013-12-06,,,,,,,,,30.308969497680664,46.986358642578125,225.6019744873047,78.80166625976562,98.87081909179688,,,,,26.1013240814209,19.557924270629883,74.76510620117188,8.719552040100098,6.010036945343018
2013-12-08,1284.17,288.8,312.0,359.68,247.69,480.0,277.1,321.49,,,,,,14030.0,4438.0,5797.0,,,,,,
2013-12-09,1270.16,288.98,312.37,360.25,247.88,481.53,277.23,321.69,30.404720306396484,47.079959869384766,225.1929473876953,79.12237548828125,98.86185455322266,14070.0,4430.0,5821.0,,26.12363052368164,18.874391555786133,73.93095397949219,8.652047157287598,6.02420711517334
2013-12-10,1232.79,289.07,312.7,360.68,247.88,482.48,277.41,321.78,30.34379005432129,46.89277267456055,225.63601684570312,79.06739807128906,98.87081909179688,13750.0,4310.0,5645.0,,26.376314163208008,18.42605209350586,73.70696258544922,8.601417541503906,6.014756679534912
2013-12-11,1243.8,289.1,312.74,360.66,247.92,482.36,277.34,321.56,30.065258026123047,46.08441162109375,221.6141357421875,78.05030822753906,98.87081909179688,13890.0,4360.0,5654.0,,25.536495208740234,18.183507919311523,73.57565307617188,8.539534568786621,5.981686592102051
2013-12-12,1221.37,288.64,312.3,360.22,247.91,481.1,277.24,320.85,29.865039825439453,45.75257110595703,223.1479949951172,77.84872436523438,98.87081909179688,14020.0,4364.0,5680.0,,24.919635772705078,18.285465240478516,72.67971801757812,8.562034606933594,5.943884372711182
2013-12-13,,,,,,,,,29.769287109375,45.786598205566406,222.7048797607422,77.74794006347656,98.87081909179688,,,,,25.038543701171875,18.241130828857422,72.94232940673828,8.556414604187012,5.953337669372559
2013-12-15,1220.53,288.39,312.2,360.33,247.8,481.42,277.38,320.52,,,,,,13740.0,4305.0,5627.0,,,,,,
2013-12-16,1242.5,288.09,311.98,360.15,247.72,481.12,277.33,320.07,30.065258026123047,45.87168502807617,224.06822204589844,78.17860412597656,98.87081909179688,13970.0,4438.0,5736.0,,25.454742431640625,18.580982208251953,73.72239685058594,8.595788955688477,5.9580607414245605
2013-12-17,1248.91,287.91,311.67,359.89,247.53,480.3,277.32,319.84,30.056529998779297,45.65045166015625,224.06822204589844,78.02281951904297,98.86185455322266,14140.0,4442.0,5679.0,,24.399394989013672,18.566207885742188,72.8959732055664,8.545159339904785,5.97223424911499
2013-12-18,1249.47,287.83,311.44,359.61,247.52,479.78,277.3,320.31,30.291566848754883,46.78215026855469,225.67018127441406,78.92996215820312,98.87975311279297,14050.0,4400.0,5634.0,,25.17516326904297,18.167253494262695,74.09314727783203,8.533909797668457,6.052556991577148
2013-12-19,1234.24,287.47,310.97,359.17,247.4,478.63,277.31,320.16,30.34379005432129,46.68003463745117,227.88555908203125,78.71005249023438,98.86185455322266,14100.0,4386.0,5673.0,,25.91362762451172,18.263294219970703,73.48299407958984,8.550787925720215,6.057281494140625
2013-12-20,,,,,,,,,30.580842971801758,46.915008544921875,231.14132690429688,79.5115966796875,98.86185455322266,,,,,26.10756492614746,18.507104873657227,74.54113006591797,8.623920440673828,6.1029486656188965
2013-12-22,1247.21,287.73,311.33,359.47,247.56,479.6,277.37,320.6,,,,,,14300.0,4478.0,5711.0,,,,,,
2013-12-23,1266.39,287.47,311.13,359.49,247.56,479.84,277.42,320.12,30.983240127563477,47.09440994262695,232.33578491210938,80.34807586669922,98.86185455322266,14360.0,4494.0,5730.0,,25.52574920654297,18.913448333740234,74.37894439697266,8.691425323486328,6.164785385131836
2013-12-24,1255.95,286.83,310.55,358.99,247.46,478.75,277.47,319.47,31.070701599121094,47.00899124145508,233.90562438964844,80.38484191894531,98.86185455322266,14380.0,4501.0,5725.0,,25.697307586669922,19.0833740234375,74.56430053710938,8.719552040100098,6.221868991851807
2013-12-25,1248.2,286.58,310.57,359.31,247.47,479.47,277.45,318.91,,,,,,14210.0,4513.0,5705.0,,,,,,
2013-12-26,1231.46,286.5,310.51,359.21,247.4,479.24,277.29,318.8,31.1494083404541,47.35927200317383,232.50636291503906,80.65142059326172,98.86363983154297,14150.0,4492.0,5746.0,,25.8763370513916,19.42322540283203,74.79601287841797,8.770181655883789,6.231381416320801
2013-12-27,,,,,,,,,31.12318992614746,47.316558837890625,234.92938232421875,80.4491958618164,98.86363983154297,,,,,25.6003360748291,19.48971939086914,74.85006713867188,8.784321784973145,6.240893363952637
2013-12-29,1214.92,286.26,310.22,358.91,247.41,478.47,277.4,318.52,,,,,,14010.0,4423.0,5719.0,,,,,,
2013-12-30,1227.15,286.79,310.31,358.93,247.29,478.3,277.37,318.72,31.061952590942383,47.393470764160156,231.51666259765625,80.32967376708984,98.86363983154297,14160.0,4457.0,5713.0,,25.52574920654297,19.13509178161621,74.92733764648438,8.795633316040039,6.193329811096191
2013-12-31,1244.95,287.03,310.44,359.05,247.3,478.46,277.43,319.54,31.263132095336914,47.36783218383789,233.8714141845703,80.85363006591797,98.87263488769531,14220.0,4544.0,5766.0,,25.548124313354492,19.046430587768555,74.94277954101562,8.801292419433594,6.183813095092773
2014-01-01,1269.33,287.0,310.02,358.42,247.32,476.82,277.43,319.84,,,,,,14100.0,4555.0,5785.0,,,,,,
2014-01-02,1257.41,287.09,310.06,358.47,247.29,476.78,277.58,320.15,30.95698356628418,47.102970123291016,229.0254669189453,80.21939849853516,98.8546371459961,13960.0,4474.0,5713.0,,24.39193344116211,18.957778930664062,74.46389770507812,8.857853889465332,6.1267313957214355
2014-01-03,,,,,,,,,30.808269500732422,47.21405029296875,226.94371032714844,79.64029693603516,98.87263488769531,,,,,24.585872650146484,19.238525390625,74.56430053710938,8.863512992858887,6.117219924926758
2014-01-05,1265.07,287.69,310.38,358.54,247.36,477.03,277.51,321.04,,,,,,13950.0,4524.0,5731.0,,,,,,
2014-01-06,1268.11,287.97,310.76,359.01,247.36,478.4,277.45,321.4,30.75579261779785,47.01753616333008,225.71510314941406,79.34613800048828,98.86363983154297,13850.0,4448.0,5702.0,,24.09356117248535,19.5636043548584,74.03135681152344,8.886136054992676,6.1029486656188965
2014-01-07,1295.72,288.14,310.93,359.1,247.26,478.77,277.27,321.88,31.035709381103516,47.51307678222656,227.79685974121094,80.08150482177734,98.86363983154297,13780.0,4498.0,5745.0,,24.004047393798828,19.940387725830078,74.44071960449219,8.931389808654785,6.193329811096191
2014-01-08,1287.33,288.11,310.71,358.86,247.21,478.09,277.25,321.83,31.035709381103516,47.931732177734375,226.77313232421875,80.25617980957031,98.87263488769531,13740.0,4436.0,5675.0,,23.444599151611328,20.26546287536621,73.69151306152344,8.891793251037598,6.183813095092773
2014-01-09,1285.3,288.17,310.81,359.09,247.27,478.54,277.35,321.98,30.83451271057129,48.29058074951172,225.8516387939453,79.98956298828125,98.87263488769531,13660.0,4427.0,5632.0,,23.362550735473633,20.08076286315918,73.73014068603516,8.699479103088379,6.174297332763672
2014-01-10,,,,,,,,,30.8957462310791,48.47854232788086,227.28501892089844,80.24695587158203,98.87263488769531,,,,,23.108932495117188,20.0290470123291,73.99274444580078,8.8239164352417,6.198082447052002
2014-01-12,1290.05,288.67,311.41,359.76,247.34,480.42,277.33,322.92,,,,,,13850.0,4460.0,5673.0,,,,,,
2014-01-13,1299.79,289.0,311.6,359.8,247.27,480.52,277.34,323.41,30.56334686279297,48.08552551269531,220.9373779296875,79.06116485595703,98.86363983154297,14160.0,4482.0,5733.0,,23.00450897216797,19.918222427368164,73.24356079101562,8.897452354431152,6.145757675170898
2014-01-14,1299.52,289.23,311.7,359.88,247.34,480.71,277.33,323.73,31.079448699951172,48.69215393066406,225.2373504638672,80.56867218017578,98.87263488769531,14130.0,4435.0,5728.0,,23.24319839477539,20.14725685119629,73.54478454589844,8.903109550476074,6.174297332763672
2014-01-15,1299.97,289.28,311.5,359.5,247.28,479.61,277.4,323.92,31.45556640625,48.64942169189453,224.93026733398438,81.23053741455078,98.87263488769531,14280.0,4392.0,5699.0,,23.250659942626953,20.28763198852539,73.73014068603516,8.914420127868652,6.250407695770264
2014-01-16,1295.23,289.58,311.92,360.19,247.14,481.22,277.47,324.42,31.44683074951172,48.76904296875,227.28501892089844,81.23973083496094,98.86363983154297,14630.0,4404.0,5701.0,,23.347625732421875,20.272851943969727,74.19357299804688,8.914420127868652,6.2599196434021
2014-01-17,,,,,,,,,31.271886825561523,48.717769622802734,225.03262329101562,80.78009796142578,98.87263488769531,,,,,23.54903221130371,20.09553337097168,73.3207778930664,8.931389808654785,6.245654106140137
2014-01-19,1285.91,289.73,312.11,360.42,247.11,481.78,277.49,324.5,,,,,,14640.0,4345.0,5688.0,,,,,,
2014-01-20,1268.09,289.43,311.93,360.37,247.09,481.62,277.4,324.13,,,,,,14450.0,4266.0,5626.0,,,,,,
2014-01-21,1278.32,289.38,311.9,360.36,247.17,481.55,277.37,324.18,31.429332733154297,48.999732971191406,230.5611114501953,81.39598846435547,98.86363983154297,14450.0,4319.0,5633.0,,23.720590591430664,20.538822174072266,73.4366455078125,8.965324401855469,6.2789459228515625
