,1,2,3,4,13,33,41,61,73,97,117,127,137,142,143,145,147,148,149,150,161,162,163,164,166,167,168,169,170,171,172,173,174
,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice
tradeDate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-09-08,914.65,938.1,16.68,978.29,1158.95,1403.68,930.63,560.84,1113.64,2571.33,518.48,1518.3,1068.62,1165.42,818.14,319.23,538.91,1099.51,342.2,1026.95,1190.64,1271.06,1008.83,1102.13,1296.86,951.96,1074.94,321.73,1177.24,1352.65,659.25,,2057.79
2013-09-09,922.57,946.28,16.42,978.62,1165.06,1409.05,950.25,563.9,1121.84,2590.52,528.87,1530.47,1080.65,1179.84,826.95,322.65,544.94,1104.33,344.86,1036.26,1194.82,1275.67,1018.5,1110.59,1313.37,962.84,1086.67,325.41,1185.31,1358.93,682.51,,2099.28
2013-09-10,932.54,956.54,16.63,978.27,1185.16,1425.05,959.94,572.06,1123.8,2587.93,543.42,1581.31,1095.89,1198.44,839.0,326.2,552.98,1119.42,350.71,1044.77,1206.54,1288.49,1031.53,1133.73,1334.26,973.51,1101.42,329.26,1219.34,1376.25,695.69,,2152.46
2013-09-11,934.4,958.46,16.43,979.51,1201.67,1440.36,961.13,573.45,1125.43,2591.33,542.92,1570.17,1097.62,1200.43,839.91,325.71,556.44,1133.79,351.31,1047.83,1212.74,1295.3,1037.63,1151.17,1336.24,978.16,1103.36,327.93,1204.29,1391.75,692.74,,2169.73
2013-09-12,931.8,955.78,16.21,979.73,1211.26,1444.19,960.14,573.59,1118.71,2573.95,542.97,1574.32,1094.62,1202.81,827.92,318.27,558.07,1140.45,351.81,1048.72,1215.75,1298.67,1040.01,1162.58,1334.1,974.16,1100.51,319.01,1208.52,1393.35,692.87,,2184.32
2013-09-15,945.3,969.66,16.62,984.14,1231.78,1477.37,970.12,581.24,1129.75,2598.77,559.89,1613.88,1112.16,1225.8,837.85,320.3,565.69,1162.6,357.49,1060.84,1228.99,1312.99,1052.08,1182.76,1349.46,971.59,1117.64,323.35,1238.62,1424.79,703.74,,2224.47
2013-09-16,947.39,971.81,16.64,985.58,1235.53,1484.0,986.56,584.69,1127.45,2594.22,566.0,1615.84,1116.05,1230.37,841.45,318.45,562.36,1167.99,360.13,1062.34,1227.84,1311.68,1046.43,1184.26,1357.05,975.0,1120.9,320.22,1238.67,1437.14,721.61,,2242.88
2013-09-17,950.37,974.88,16.63,986.99,1249.48,1479.56,998.24,588.24,1121.19,2574.68,573.29,1635.15,1123.38,1240.08,845.72,321.11,560.56,1173.56,361.27,1069.79,1230.09,1314.1,1043.04,1198.91,1366.1,978.53,1127.47,323.17,1243.8,1430.87,732.48,,2254.2
2013-09-22,952.84,977.42,16.67,988.02,1261.64,1480.24,1014.75,591.72,1116.91,2561.41,575.68,1648.84,1129.62,1252.98,841.93,320.1,558.08,1181.41,363.68,1074.6,1231.32,1315.4,1038.85,1212.33,1373.0,959.18,1132.94,323.69,1251.72,1431.22,751.56,,2295.47
2013-09-23,959.97,984.76,16.65,990.48,1269.2,1481.95,1014.8,592.79,1126.31,2586.41,579.92,1679.67,1137.66,1261.54,848.74,324.68,561.79,1187.07,364.48,1084.28,1239.95,1324.81,1045.22,1219.63,1379.56,974.26,1140.94,327.44,1263.71,1429.75,747.97,,2297.21
2013-09-24,961.08,985.88,16.8,994.9,1259.88,1504.34,1026.15,593.9,1126.59,2583.43,576.18,1681.58,1135.82,1256.36,852.78,324.88,563.24,1185.33,363.74,1083.23,1250.34,1336.04,1048.38,1208.12,1382.68,974.79,1139.43,328.01,1270.62,1452.6,757.69,,2284.63
2013-09-29,970.99,996.07,16.99,999.66,1265.29,1527.81,1040.75,595.25,1136.39,2608.4,587.89,1689.88,1147.99,1270.93,862.64,332.82,577.54,1195.3,363.72,1096.97,1264.73,1351.65,1072.17,1213.49,1396.14,997.07,1152.27,334.96,1284.17,1477.93,775.6,,2299.7
2013-09-30,965.52,990.41,17.21,1001.71,1264.86,1506.05,1041.6,597.31,1121.37,2566.25,586.8,1692.83,1142.51,1264.98,859.76,331.32,573.62,1189.63,365.15,1092.45,1264.55,1351.32,1066.88,1214.08,1396.26,999.44,1146.64,331.98,1278.18,1454.93,777.1,,2309.26
2013-10-01,972.18,997.25,17.75,1002.71,1276.49,1508.29,1050.27,597.78,1126.11,2575.77,595.55,1702.77,1150.47,1274.78,863.91,334.81,581.45,1197.58,364.78,1099.69,1281.65,1369.93,1082.33,1225.88,1398.71,1015.93,1155.11,334.83,1284.23,1457.48,786.39,,2328.17
2013-10-02,972.33,997.4,17.7,1005.94,1274.43,1509.24,1046.51,595.04,1125.1,2574.1,595.63,1707.03,1148.53,1271.97,862.79,336.67,590.67,1196.58,362.48,1103.81,1295.5,1385.06,1097.23,1224.96,1391.61,1031.12,1154.26,336.32,1281.25,1452.6,781.54,,2312.67
2013-10-03,969.07,994.02,17.68,1011.89,1265.94,1498.1,1025.14,589.09,1130.87,2595.89,590.59,1680.01,1136.91,1257.64,851.09,331.55,587.56,1185.72,358.36,1087.68,1308.3,1398.93,1091.49,1217.58,1371.37,1018.33,1143.26,331.03,1258.65,1439.16,757.52,,2280.75
2013-10-06,981.76,1007.08,17.8,1013.05,1275.43,1523.16,1036.28,596.93,1152.63,2648.83,595.63,1698.05,1153.06,1275.3,861.32,334.01,593.69,1199.39,364.55,1101.61,1314.79,1406.01,1101.75,1227.56,1392.34,1027.62,1159.37,334.26,1274.64,1466.18,765.77,,2313.88
2013-10-07,983.66,1009.08,17.55,1005.93,1277.74,1536.46,1044.57,599.86,1152.31,2647.54,593.06,1713.48,1156.94,1280.59,862.63,333.85,593.34,1203.28,367.64,1107.52,1311.92,1403.19,1101.74,1230.09,1397.73,1029.54,1163.03,333.33,1284.84,1477.37,777.51,,2318.41
2013-10-08,987.38,1012.92,17.52,1002.73,1280.87,1554.03,1053.27,601.17,1160.1,2666.27,590.07,1716.24,1159.52,1282.07,865.93,334.37,599.75,1210.69,369.4,1116.45,1316.66,1408.57,1111.56,1232.28,1401.89,1037.4,1166.16,334.25,1281.41,1493.72,792.52,,2317.28
2013-10-09,988.94,1014.53,17.6,1002.07,1291.99,1563.51,1047.4,603.31,1162.06,2669.81,596.03,1736.69,1160.51,1286.12,861.91,328.69,594.33,1220.17,370.45,1116.59,1314.87,1406.59,1102.32,1243.32,1408.08,1013.02,1166.47,330.15,1292.62,1504.01,786.47,,2319.55
2013-10-10,996.06,1021.85,17.93,1004.75,1289.23,1563.63,1050.52,604.92,1177.7,2710.96,594.55,1735.25,1167.35,1292.75,867.59,334.1,600.55,1219.59,370.56,1112.55,1321.02,1413.18,1113.02,1240.07,1409.78,1039.43,1173.7,332.71,1302.15,1503.74,786.03,,2340.39
2013-10-13,991.84,1017.47,18.13,1010.42,1282.92,1551.52,1047.8,599.51,1176.94,2712.1,586.91,1711.81,1160.41,1285.16,861.73,333.66,601.29,1212.57,366.01,1106.58,1319.18,1410.87,1114.84,1234.67,1392.88,1044.05,1167.25,331.06,1289.91,1487.95,785.28,,2332.83
2013-10-14,995.15,1020.91,17.05,1011.03,1292.61,1544.05,1057.83,601.47,1182.36,2727.22,589.88,1682.83,1167.87,1295.8,862.83,335.13,581.69,1217.64,367.99,1110.93,1305.51,1396.07,1084.86,1245.35,1398.22,1049.99,1172.55,331.6,1217.61,1481.48,799.35,,2361.83
2013-10-15,995.68,1021.46,16.96,1010.71,1296.93,1542.55,1063.16,601.39,1176.17,2710.3,583.17,1677.73,1173.47,1302.95,865.79,340.19,575.96,1218.5,367.73,1110.54,1305.6,1396.21,1077.02,1251.11,1398.23,1063.7,1177.36,332.35,1216.14,1479.69,802.35,,2364.78
2013-10-16,997.45,1023.31,16.94,1005.3,1303.93,1545.83,1068.52,602.92,1171.09,2696.58,586.08,1696.26,1176.69,1307.0,868.56,341.27,569.42,1224.19,367.64,1113.76,1309.53,1400.77,1067.85,1257.35,1401.66,1066.79,1179.78,332.29,1221.47,1482.14,807.14,,2372.84
2013-10-17,995.16,1020.95,17.14,1002.8,1287.57,1558.15,1070.39,602.21,1168.47,2689.81,583.64,1695.48,1171.56,1296.65,873.3,342.56,576.47,1216.55,367.56,1111.24,1318.85,1411.11,1078.72,1240.62,1395.87,1091.89,1175.61,330.77,1220.23,1494.13,806.86,,2366.19
